"Entrez.ID"	"Gene.name"
2	"A2M"
9	"NAT1"
10	"NAT2"
12	"SERPINA3"
13	"AADAC"
14	"AAMP"
15	"AANAT"
16	"AARS"
18	"ABAT"
19	"ABCA1"
20	"ABCA2"
21	"ABCA3"
22	"ABCB7"
23	"ABCF1"
24	"ABCA4"
25	"ABL1"
26	"AOC1"
27	"ABL2"
28	"ABO"
29	"ABR"
30	"ACAA1"
31	"ACACA"
32	"ACACB"
33	"ACADL"
34	"ACADM"
35	"ACADS"
36	"ACADSB"
37	"ACADVL"
38	"ACAT1"
39	"ACAT2"
40	"ASIC2"
41	"ASIC1"
43	"ACHE"
47	"ACLY"
48	"ACO1"
50	"ACO2"
51	"ACOX1"
52	"ACP1"
53	"ACP2"
54	"ACP5"
55	"ACPP"
56	"ACRV1"
58	"ACTA1"
59	"ACTA2"
60	"ACTB"
70	"ACTC1"
71	"ACTG1"
72	"ACTG2"
81	"ACTN4"
86	"ACTL6A"
87	"ACTN1"
88	"ACTN2"
89	"ACTN3"
90	"ACVR1"
91	"ACVR1B"
92	"ACVR2A"
93	"ACVR2B"
94	"ACVRL1"
97	"ACYP1"
98	"ACYP2"
100	"ADA"
101	"ADAM8"
102	"ADAM10"
103	"ADAR"
104	"ADARB1"
105	"ADARB2"
107	"ADCY1"
108	"ADCY2"
109	"ADCY3"
112	"ADCY6"
113	"ADCY7"
114	"ADCY8"
115	"ADCY9"
116	"ADCYAP1"
117	"ADCYAP1R1"
118	"ADD1"
119	"ADD2"
120	"ADD3"
123	"PLIN2"
124	"ADH1A"
125	"ADH1B"
128	"ADH5"
130	"ADH6"
131	"ADH7"
132	"ADK"
133	"ADM"
134	"ADORA1"
136	"ADORA2B"
140	"ADORA3"
141	"ADPRH"
142	"PARP1"
143	"PARP4"
146	"ADRA1D"
147	"ADRA1B"
148	"ADRA1A"
150	"ADRA2A"
151	"ADRA2B"
152	"ADRA2C"
153	"ADRB1"
154	"ADRB2"
155	"ADRB3"
156	"ADRBK1"
157	"ADRBK2"
158	"ADSL"
159	"ADSS"
162	"AP1B1"
163	"AP2B1"
164	"AP1G1"
165	"AEBP1"
166	"AES"
167	"CRISP1"
173	"AFM"
174	"AFP"
175	"AGA"
176	"ACAN"
177	"AGER"
178	"AGL"
181	"AGRP"
182	"JAG1"
183	"AGT"
185	"AGTR1"
186	"AGTR2"
187	"APLNR"
189	"AGXT"
190	"NR0B1"
191	"AHCY"
196	"AHR"
197	"AHSG"
199	"AIF1"
203	"AK1"
204	"AK2"
207	"AKT1"
208	"AKT2"
210	"ALAD"
211	"ALAS1"
212	"ALAS2"
213	"ALB"
214	"ALCAM"
215	"ABCD1"
216	"ALDH1A1"
217	"ALDH2"
218	"ALDH3A1"
219	"ALDH1B1"
220	"ALDH1A3"
221	"ALDH3B1"
222	"ALDH3B2"
223	"ALDH9A1"
224	"ALDH3A2"
225	"ABCD2"
226	"ALDOA"
229	"ALDOB"
230	"ALDOC"
231	"AKR1B1"
238	"ALK"
239	"ALOX12"
240	"ALOX5"
241	"ALOX5AP"
242	"ALOX12B"
246	"ALOX15"
247	"ALOX15B"
248	"ALPI"
249	"ALPL"
250	"ALPP"
251	"ALPPL2"
257	"ALX3"
258	"AMBN"
259	"AMBP"
262	"AMD1"
265	"AMELX"
266	"AMELY"
267	"AMFR"
268	"AMH"
269	"AMHR2"
270	"AMPD1"
271	"AMPD2"
272	"AMPD3"
273	"AMPH"
274	"BIN1"
275	"AMT"
284	"ANGPT1"
285	"ANGPT2"
286	"ANK1"
287	"ANK2"
288	"ANK3"
290	"ANPEP"
291	"SLC25A4"
292	"SLC25A5"
293	"SLC25A6"
301	"ANXA1"
302	"ANXA2"
306	"ANXA3"
307	"ANXA4"
308	"ANXA5"
309	"ANXA6"
310	"ANXA7"
311	"ANXA11"
312	"ANXA13"
313	"AOAH"
314	"AOC2"
316	"AOX1"
317	"APAF1"
318	"NUDT2"
319	"APOF"
320	"APBA1"
321	"APBA2"
322	"APBB1"
323	"APBB2"
324	"APC"
325	"APCS"
326	"AIRE"
327	"APEH"
328	"APEX1"
329	"BIRC2"
330	"BIRC3"
331	"XIAP"
332	"BIRC5"
333	"APLP1"
334	"APLP2"
336	"APOA2"
337	"APOA4"
338	"APOB"
339	"APOBEC1"
341	"APOC1"
343	"AQP8"
346	"APOC4"
347	"APOD"
348	"APOE"
350	"APOH"
351	"APP"
353	"APRT"
354	"KLK3"
355	"FAS"
356	"FASLG"
357	"SHROOM2"
358	"AQP1"
359	"AQP2"
360	"AQP3"
361	"AQP4"
362	"AQP5"
363	"AQP6"
364	"AQP7"
366	"AQP9"
367	"AR"
368	"ABCC6"
369	"ARAF"
372	"ARCN1"
373	"TRIM23"
374	"AREG"
375	"ARF1"
377	"ARF3"
378	"ARF4"
379	"ARL4D"
381	"ARF5"
382	"ARF6"
383	"ARG1"
384	"ARG2"
387	"RHOA"
388	"RHOB"
389	"RHOC"
390	"RND3"
391	"RHOG"
392	"ARHGAP1"
393	"ARHGAP4"
394	"ARHGAP5"
395	"ARHGAP6"
396	"ARHGDIA"
397	"ARHGDIB"
399	"RHOH"
400	"ARL1"
401	"PHOX2A"
403	"ARL3"
405	"ARNT"
406	"ARNTL"
407	"ARR3"
408	"ARRB1"
409	"ARRB2"
410	"ARSA"
411	"ARSB"
412	"STS"
414	"ARSD"
415	"ARSE"
416	"ARSF"
417	"ART1"
419	"ART3"
420	"ART4"
421	"ARVCF"
427	"ASAH1"
429	"ASCL1"
430	"ASCL2"
432	"ASGR1"
433	"ASGR2"
434	"ASIP"
435	"ASL"
438	"ASMT"
439	"ASNA1"
440	"ASNS"
443	"ASPA"
444	"ASPH"
445	"ASS1"
460	"ASTN1"
462	"SERPINC1"
463	"ZFHX3"
466	"ATF1"
467	"ATF3"
468	"ATF4"
471	"ATIC"
472	"ATM"
473	"RERE"
474	"ATOH1"
475	"ATOX1"
476	"ATP1A1"
477	"ATP1A2"
478	"ATP1A3"
479	"ATP12A"
481	"ATP1B1"
482	"ATP1B2"
483	"ATP1B3"
486	"FXYD2"
487	"ATP2A1"
488	"ATP2A2"
489	"ATP2A3"
490	"ATP2B1"
491	"ATP2B2"
492	"ATP2B3"
493	"ATP2B4"
495	"ATP4A"
496	"ATP4B"
498	"ATP5A1"
501	"ALDH7A1"
506	"ATP5B"
509	"ATP5C1"
513	"ATP5D"
514	"ATP5E"
515	"ATP5F1"
516	"ATP5G1"
517	"ATP5G2"
518	"ATP5G3"
521	"ATP5I"
522	"ATP5J"
523	"ATP6V1A"
525	"ATP6V1B1"
526	"ATP6V1B2"
527	"ATP6V0C"
528	"ATP6V1C1"
529	"ATP6V1E1"
533	"ATP6V0B"
534	"ATP6V1G2"
535	"ATP6V0A1"
537	"ATP6AP1"
538	"ATP7A"
539	"ATP5O"
540	"ATP7B"
545	"ATR"
546	"ATRX"
547	"KIF1A"
549	"AUH"
550	"AUP1"
552	"AVPR1A"
553	"AVPR1B"
554	"AVPR2"
558	"AXL"
563	"AZGP1"
566	"AZU1"
567	"B2M"
570	"BAAT"
571	"BACH1"
572	"BAD"
573	"BAG1"
575	"ADGRB1"
576	"ADGRB2"
577	"ADGRB3"
579	"NKX3-2"
580	"BARD1"
581	"BAX"
582	"BBS1"
585	"BBS4"
586	"BCAT1"
587	"BCAT2"
590	"BCHE"
593	"BCKDHA"
594	"BCKDHB"
595	"CCND1"
596	"BCL2"
597	"BCL2A1"
598	"BCL2L1"
599	"BCL2L2"
602	"BCL3"
604	"BCL6"
605	"BCL7A"
607	"BCL9"
608	"TNFRSF17"
611	"OPN1SW"
613	"BCR"
617	"BCS1L"
622	"BDH1"
623	"BDKRB1"
624	"BDKRB2"
627	"BDNF"
629	"CFB"
631	"BFSP1"
633	"BGN"
634	"CEACAM1"
635	"BHMT"
636	"BICD1"
637	"BID"
638	"BIK"
639	"PRDM1"
640	"BLK"
641	"BLM"
642	"BLMH"
643	"CXCR5"
644	"BLVRA"
645	"BLVRB"
646	"BNC1"
648	"BMI1"
649	"BMP1"
650	"BMP2"
651	"BMP3"
652	"BMP4"
653	"BMP5"
654	"BMP6"
655	"BMP7"
656	"BMP8B"
658	"BMPR1B"
659	"BMPR2"
660	"BMX"
661	"POLR3D"
662	"BNIP1"
663	"BNIP2"
664	"BNIP3"
665	"BNIP3L"
666	"BOK"
667	"DST"
668	"FOXL2"
669	"BPGM"
670	"BPHL"
671	"BPI"
672	"BRCA1"
675	"BRCA2"
676	"BRDT"
677	"ZFP36L1"
678	"ZFP36L2"
680	"BRS3"
682	"BSG"
683	"BST1"
684	"BST2"
685	"BTC"
686	"BTD"
687	"KLF9"
688	"KLF5"
689	"BTF3"
694	"BTG1"
695	"BTK"
696	"BTN1A1"
699	"BUB1"
701	"BUB1B"
705	"BYSL"
706	"TSPO"
708	"C1QBP"
710	"SERPING1"
712	"C1QA"
713	"C1QB"
715	"C1R"
716	"C1S"
717	"C2"
718	"C3"
719	"C3AR1"
722	"C4BPA"
725	"C4BPB"
726	"CAPN5"
727	"C5"
728	"C5AR1"
729	"C6"
730	"C7"
731	"C8A"
732	"C8B"
733	"C8G"
734	"OSGIN2"
735	"C9"
